query_text,department
"diarrhea, joint pain, sore throat, rash, fever",Neurology
"appetite loss, headache, cough, chest pain, sweating",General Medicine
"runny nose, anxiety, fever, sore throat, appetite loss, shortness of breath",ENT
"abdominal pain, muscle pain, fatigue, swelling, chest pain, diarrhea, back pain",Endocrinology
"runny nose, sore throat, fatigue, sneezing, anxiety, weight loss, fever",ENT
"insomnia, sore throat, abdominal pain, rash",ENT
"weight loss, fever, joint pain, sneezing, cough, depression, appetite loss",Neurology
"appetite loss, sore throat, rash, diarrhea, back pain",ENT
"back pain, swelling, dizziness, headache, cough, rash, weight loss",Orthopedics
"blurred vision, sneezing, depression, nausea, headache, sore throat",Psychiatry
"cough, appetite loss, vomiting, dizziness",Pulmonology
"sneezing, shortness of breath, cough, swelling, depression, vomiting, chest pain",Psychiatry
"fatigue, appetite loss, rash, muscle pain, joint pain",Gastroenterology
"sneezing, blurred vision, rash, appetite loss",Gastroenterology
"sore throat, muscle pain, anxiety, nausea, weight loss, chest pain",Endocrinology
"chest pain, runny nose, anxiety, blurred vision, muscle pain",Gastroenterology
"cough, back pain, rash, anxiety, muscle pain, shortness of breath",Gastroenterology
"rash, abdominal pain, appetite loss, back pain, insomnia, nausea",Orthopedics
"cough, headache, sore throat, diarrhea, depression, rash",ENT
"headache, insomnia, runny nose, rash, swelling, appetite loss, sore throat",General Medicine
"dizziness, depression, shortness of breath, diarrhea, fatigue, fever",Gastroenterology
"weight loss, fatigue, shortness of breath, swelling, appetite loss, blurred vision",Neurology
"vomiting, fatigue, headache, sore throat, runny nose, nausea",ENT
"insomnia, rash, blurred vision, sore throat, weight loss",Psychiatry
"blurred vision, depression, nausea, appetite loss",Gastroenterology
"appetite loss, headache, diarrhea, sneezing",Pulmonology
"runny nose, appetite loss, weight loss, headache, anxiety",ENT
"abdominal pain, muscle pain, swelling, sweating, weight gain, sore throat",ENT
"runny nose, insomnia, abdominal pain, rash, headache, weight loss",Pulmonology
"muscle pain, abdominal pain, tremors, cough",Pulmonology
"nausea, dizziness, blurred vision, diarrhea, rash",Dermatology
"depression, weight loss, shortness of breath, headache",Cardiology
"abdominal pain, depression, nausea",Neurology
"back pain, anxiety, dizziness, weight gain, cough, fever, sore throat",Endocrinology
"swelling, weight gain, muscle pain, anxiety",Cardiology
"chest pain, depression, tremors, sneezing, diarrhea, insomnia, joint pain",Orthopedics
"nausea, runny nose, muscle pain",ENT
"headache, dizziness, blurred vision, sweating, back pain, rash, joint pain",Gastroenterology
"dizziness, diarrhea, runny nose",Neurology
"fatigue, cough, chest pain, joint pain",Orthopedics
"sweating, dizziness, weight gain, back pain",Orthopedics
"runny nose, sneezing, chest pain, sweating, fever, sore throat, joint pain",Neurology
"rash, cough, sweating, chest pain, sneezing, anxiety, depression",Cardiology
"tremors, fatigue, muscle pain",Neurology
"rash, cough, joint pain, sweating, weight gain, weight loss",Gastroenterology
"joint pain, abdominal pain, runny nose",ENT
"insomnia, anxiety, fatigue, headache, appetite loss, joint pain, rash",Psychiatry
"vomiting, anxiety, abdominal pain, joint pain",Gastroenterology
"blurred vision, dizziness, appetite loss, sneezing",General Medicine
"headache, dizziness, anxiety, sweating, nausea, joint pain, appetite loss",Orthopedics
"sweating, abdominal pain, weight loss, sneezing, blurred vision, weight gain, chest pain",Gastroenterology
"muscle pain, weight gain, chest pain",Gastroenterology
"sneezing, shortness of breath, depression, swelling, weight gain, back pain, diarrhea",Orthopedics
"abdominal pain, depression, back pain, anxiety",Neurology
"cough, weight gain, blurred vision, fatigue",Psychiatry
"headache, muscle pain, blurred vision, vomiting, sweating, abdominal pain",Gastroenterology
"abdominal pain, joint pain, dizziness, nausea, runny nose, weight loss",ENT
"anxiety, sneezing, vomiting, diarrhea, shortness of breath",Pulmonology
"blurred vision, vomiting, sneezing, dizziness, rash",Dermatology
"insomnia, weight loss, joint pain, appetite loss, rash, headache, chest pain",Pulmonology
"runny nose, depression, shortness of breath, back pain, sneezing",Pulmonology
"blurred vision, shortness of breath, headache, fatigue, anxiety, weight gain, diarrhea",Cardiology
"diarrhea, depression, tremors, cough, fatigue, muscle pain, dizziness",Pulmonology
"fever, weight loss, nausea, muscle pain",Gastroenterology
"swelling, chest pain, dizziness, depression",General Medicine
"weight loss, back pain, tremors, cough",Orthopedics
"sweating, joint pain, appetite loss",Pulmonology
"cough, fever, chest pain, weight gain, anxiety",Pulmonology
"abdominal pain, sneezing, headache, tremors, runny nose, shortness of breath, vomiting",ENT
"depression, shortness of breath, blurred vision, nausea, fever, dizziness",Endocrinology
"nausea, anxiety, tremors, depression",Gastroenterology
"joint pain, insomnia, fatigue",Gastroenterology
"fever, shortness of breath, joint pain, diarrhea",Gastroenterology
"back pain, weight gain, fever, shortness of breath, depression, rash, diarrhea",Orthopedics
"nausea, joint pain, insomnia, abdominal pain, blurred vision",Orthopedics
"rash, anxiety, diarrhea, headache, sneezing",Pulmonology
"blurred vision, rash, sore throat, weight gain, fatigue, cough, weight loss",ENT
"nausea, dizziness, tremors, abdominal pain",Neurology
"sneezing, sore throat, abdominal pain, runny nose, cough, swelling, headache",Cardiology
"weight loss, runny nose, insomnia",ENT
"shortness of breath, sweating, fever, back pain, vomiting, weight gain",Orthopedics
"weight loss, cough, sore throat",Gastroenterology
"swelling, headache, depression, back pain",Orthopedics
"runny nose, joint pain, sweating, sore throat, insomnia, back pain",ENT
"fatigue, nausea, weight loss, joint pain, abdominal pain",Orthopedics
"chest pain, runny nose, insomnia",ENT
"sweating, diarrhea, tremors, runny nose, rash, headache",Neurology
"cough, appetite loss, insomnia",Pulmonology
"sore throat, fatigue, anxiety, cough",ENT
"diarrhea, back pain, cough",Orthopedics
"swelling, tremors, cough, headache",Neurology
"dizziness, weight gain, anxiety, swelling, insomnia, tremors, diarrhea",Psychiatry
"muscle pain, chest pain, shortness of breath, cough",Neurology
"depression, insomnia, muscle pain, weight loss",Pulmonology
"appetite loss, abdominal pain, dizziness, blurred vision, muscle pain, back pain",General Medicine
"sneezing, diarrhea, sweating, chest pain, blurred vision, headache, runny nose",Endocrinology
"abdominal pain, headache, joint pain, diarrhea, shortness of breath, vomiting, dizziness",Orthopedics
"sore throat, weight loss, back pain, sweating, vomiting",ENT
"anxiety, cough, sore throat, vomiting, weight gain, insomnia, weight loss",ENT
"chest pain, fever, vomiting, back pain, fatigue",Orthopedics
"blurred vision, vomiting, joint pain, diarrhea, weight loss, dizziness, chest pain",Orthopedics
"chest pain, shortness of breath, rash, abdominal pain, sneezing",General Medicine
"vomiting, rash, dizziness, muscle pain, cough",Neurology
"shortness of breath, weight loss, weight gain",Pulmonology
"dizziness, diarrhea, joint pain, weight gain",Orthopedics
"shortness of breath, swelling, sweating, sneezing, back pain",Neurology
"nausea, headache, back pain, weight loss, sneezing",Endocrinology
"cough, sweating, sore throat, insomnia, tremors, fever, muscle pain",General Medicine
"fever, vomiting, abdominal pain, runny nose",Pulmonology
"sneezing, insomnia, tremors, fever, swelling, weight loss, blurred vision",General Medicine
"weight loss, chest pain, fever, abdominal pain, sweating",Neurology
"fatigue, abdominal pain, headache, diarrhea",Psychiatry
"shortness of breath, appetite loss, joint pain, sore throat, rash",Cardiology
"sore throat, joint pain, weight loss",ENT
"sore throat, sneezing, tremors, muscle pain",ENT
"abdominal pain, cough, diarrhea",Pulmonology
"cough, sore throat, insomnia, shortness of breath, weight loss",Neurology
"fever, vomiting, weight gain, headache, swelling",Endocrinology
"weight gain, diarrhea, sweating, tremors",Gastroenterology
"swelling, back pain, headache, blurred vision, sweating, sore throat",Gastroenterology
"diarrhea, sweating, sore throat, dizziness, anxiety, back pain",Pulmonology
"appetite loss, runny nose, sneezing, diarrhea, rash",ENT
"insomnia, joint pain, sore throat, swelling, anxiety, chest pain, diarrhea",Endocrinology
"joint pain, blurred vision, appetite loss, depression",Cardiology
"sore throat, fever, chest pain",Gastroenterology
"sore throat, nausea, muscle pain, runny nose",Pulmonology
"fever, sore throat, rash",ENT
"tremors, joint pain, fever, chest pain, muscle pain",Orthopedics
"diarrhea, weight gain, abdominal pain, nausea, insomnia, joint pain, swelling",Orthopedics
"headache, sore throat, nausea, muscle pain, shortness of breath, swelling",Cardiology
"diarrhea, back pain, depression, sneezing, anxiety",Gastroenterology
"chest pain, fever, joint pain, dizziness",Pulmonology
"runny nose, dizziness, muscle pain, sweating, tremors",Psychiatry
"anxiety, blurred vision, vomiting, sneezing, dizziness",Gastroenterology
"weight gain, appetite loss, diarrhea, dizziness, joint pain, shortness of breath",Orthopedics
"vomiting, weight gain, weight loss, nausea, insomnia, appetite loss, fever",Pulmonology
"appetite loss, chest pain, blurred vision, sore throat, muscle pain, insomnia",Cardiology
"shortness of breath, insomnia, headache, blurred vision",Pulmonology
"sneezing, weight gain, joint pain, weight loss, abdominal pain, blurred vision, muscle pain",Orthopedics
"anxiety, depression, sore throat, fatigue, diarrhea, insomnia, blurred vision",ENT
"fatigue, fever, tremors, shortness of breath, diarrhea, abdominal pain",Psychiatry
"diarrhea, runny nose, rash, joint pain, sweating, insomnia, weight gain",ENT
"sneezing, fatigue, chest pain",Gastroenterology
"rash, chest pain, dizziness, runny nose",Psychiatry
"sneezing, fatigue, runny nose, back pain, blurred vision",Neurology
"back pain, diarrhea, abdominal pain, nausea",Pulmonology
"runny nose, diarrhea, appetite loss, joint pain, depression, nausea",Neurology
"fever, back pain, anxiety, vomiting, runny nose, weight gain",ENT
"vomiting, shortness of breath, swelling, blurred vision",Pulmonology
"nausea, rash, dizziness, vomiting, runny nose, fatigue, shortness of breath",Pulmonology
"anxiety, joint pain, weight gain, fatigue, rash",General Medicine
"anxiety, weight gain, sore throat, insomnia, headache",Endocrinology
"nausea, rash, blurred vision",Dermatology
"headache, weight gain, joint pain, muscle pain, nausea, sneezing, depression",Orthopedics
"weight loss, nausea, sneezing, chest pain",Pulmonology
"anxiety, cough, rash, fever, sneezing, headache",Psychiatry
"muscle pain, insomnia, sneezing, tremors, blurred vision, runny nose",Neurology
"appetite loss, swelling, diarrhea",Gastroenterology
"chest pain, nausea, swelling, runny nose, weight gain, sneezing, weight loss",ENT
"swelling, weight loss, sweating, rash, cough",Pulmonology
"fatigue, back pain, depression, swelling, diarrhea, chest pain",Cardiology
"runny nose, tremors, fatigue",Gastroenterology
"blurred vision, rash, tremors, anxiety, depression, muscle pain, nausea",Psychiatry
"appetite loss, cough, weight gain, rash",Psychiatry
"dizziness, blurred vision, chest pain, weight gain",Neurology
"headache, swelling, appetite loss",Psychiatry
"blurred vision, tremors, headache, diarrhea",Gastroenterology
"sneezing, headache, weight gain, depression, shortness of breath, swelling",Pulmonology
"joint pain, abdominal pain, back pain",Pulmonology
"dizziness, weight gain, fever, swelling, back pain, sore throat",ENT
"tremors, sore throat, appetite loss, weight loss, joint pain",ENT
"dizziness, sweating, chest pain, weight loss, weight gain",Neurology
"insomnia, swelling, cough, fatigue, depression",Psychiatry
"runny nose, fever, muscle pain, vomiting",Pulmonology
"tremors, shortness of breath, sore throat, depression",ENT
"cough, joint pain, depression, chest pain",Gastroenterology
"diarrhea, abdominal pain, insomnia, runny nose, fever, back pain, dizziness",ENT
"sneezing, sore throat, diarrhea, joint pain",ENT
"chest pain, headache, joint pain, swelling, sweating",Gastroenterology
"sore throat, abdominal pain, weight gain, fever",ENT
"back pain, vomiting, depression, headache, muscle pain",Orthopedics
"sore throat, fatigue, headache, swelling",ENT
"muscle pain, dizziness, appetite loss, headache, diarrhea",Gastroenterology
"anxiety, tremors, back pain, sweating, chest pain, blurred vision, fever",Orthopedics
"anxiety, abdominal pain, vomiting, back pain, joint pain, chest pain, depression",Cardiology
"diarrhea, sneezing, depression",Gastroenterology
"rash, dizziness, headache",Dermatology
"insomnia, nausea, swelling, sneezing, sore throat, fever, weight gain",Gastroenterology
"cough, appetite loss, joint pain",Cardiology
"swelling, muscle pain, sweating, blurred vision, joint pain, sore throat, depression",ENT
"sore throat, chest pain, abdominal pain, vomiting, appetite loss",ENT
"depression, swelling, tremors, insomnia, appetite loss, sore throat, chest pain",ENT
"cough, diarrhea, sore throat, muscle pain",ENT
"chest pain, insomnia, back pain",Orthopedics
"blurred vision, fever, nausea, sneezing",Gastroenterology
"nausea, rash, headache, back pain, swelling",Psychiatry
"shortness of breath, abdominal pain, sore throat, tremors, blurred vision, weight gain",Gastroenterology
"rash, cough, sneezing, weight gain, nausea, tremors, back pain",Orthopedics
"diarrhea, back pain, abdominal pain",Orthopedics
"sneezing, rash, joint pain",Orthopedics
"diarrhea, dizziness, tremors, muscle pain, back pain, sweating",Neurology
"abdominal pain, insomnia, cough",Gastroenterology
"sore throat, runny nose, chest pain, swelling, appetite loss, dizziness",General Medicine
"vomiting, chest pain, weight gain, appetite loss, back pain",Orthopedics
"sneezing, swelling, sweating, vomiting, back pain, weight loss, diarrhea",Gastroenterology
"weight loss, rash, depression, sweating",Dermatology
"tremors, back pain, sweating, chest pain, fatigue, vomiting",Orthopedics
"headache, blurred vision, shortness of breath",Neurology
"muscle pain, blurred vision, rash, runny nose, back pain, sore throat, weight gain",ENT
"sore throat, weight gain, sweating, cough, muscle pain, insomnia",General Medicine
"appetite loss, joint pain, blurred vision, sweating, back pain",Cardiology
"sore throat, vomiting, headache, swelling",Cardiology
"nausea, runny nose, dizziness",ENT
"runny nose, chest pain, shortness of breath, tremors",Gastroenterology
"sweating, blurred vision, anxiety, cough, vomiting",Psychiatry
"rash, joint pain, abdominal pain, cough",Pulmonology
"fever, joint pain, tremors, runny nose",Psychiatry
"fatigue, appetite loss, sweating, headache, tremors, fever",Pulmonology
"rash, insomnia, depression, appetite loss, sore throat, weight gain",Cardiology
"vomiting, depression, runny nose",ENT
"fatigue, cough, runny nose, nausea, weight gain",ENT
"insomnia, muscle pain, nausea, rash, vomiting, appetite loss",Dermatology
"cough, anxiety, diarrhea, depression",Pulmonology
"sneezing, cough, sore throat, shortness of breath, joint pain, headache, muscle pain",ENT
"appetite loss, fever, joint pain, blurred vision, rash, sneezing, weight loss",Orthopedics
"abdominal pain, dizziness, joint pain, shortness of breath, nausea, fever, sweating",Pulmonology
"cough, appetite loss, sneezing, abdominal pain, rash",Dermatology
"diarrhea, insomnia, shortness of breath",Endocrinology
"rash, sweating, nausea, appetite loss, diarrhea, weight gain",Dermatology
"fever, blurred vision, sweating, rash, weight gain, back pain, headache",Pulmonology
"nausea, sneezing, cough, sore throat, diarrhea",Neurology
"fever, dizziness, anxiety, vomiting, headache, sweating",Neurology
"headache, weight gain, blurred vision",General Medicine
"sore throat, rash, blurred vision, insomnia, joint pain",ENT
"headache, nausea, back pain, muscle pain, appetite loss",Orthopedics
"blurred vision, weight loss, anxiety, appetite loss",Gastroenterology
"joint pain, chest pain, back pain, blurred vision",Orthopedics
"blurred vision, weight gain, joint pain",Endocrinology
"dizziness, appetite loss, anxiety, diarrhea, depression, weight gain, fatigue",Endocrinology
"diarrhea, rash, dizziness",Endocrinology
"runny nose, fever, shortness of breath, vomiting, diarrhea",Psychiatry
"back pain, fever, cough",Cardiology
"muscle pain, sneezing, joint pain, rash",Orthopedics
"appetite loss, weight gain, depression, swelling, insomnia, diarrhea",Psychiatry
"chest pain, fever, dizziness",Psychiatry
"joint pain, nausea, back pain, sore throat",Gastroenterology
